Municipios ,Extensión  km²
Acandí,869
Alto Baudó,1532
Atrato,415
Bagadó,770
Bahía Solano,976
Bajo Baudó,3630
Bojaya,3528
Canton De San Pablo,379
Carmén Del Darién,3197
Certegui,301
Condoto,626
El Carmen De Atrato,931
El Litoral Del San Juan,3356
Itsmina,2000
Juradó,1353
Lloró,841
Medio Atrato,1842
Medio Baudó,1836
Medio San Juan,620
Nóvita,1158
Nuquí,1033
Quibdó,3075
Río Iró,304
Rio Quito,700
Riosucio,7046
San José Del Palmar,940
Sipí,1242
Tadó,576
Unguía,1307
Union Panamericana,147
,
